Line Name, Rest Value, Freq, g(J), Eupper(K), A(10e-7s), LTE1000, LTE2000, LTE3000, LTE4000
1-0	S(0),	2.2235,	4497.41,	5,	6471,	2.53,	0.27,	0.21,	0.19,	0.19
1-0	S(1),	2.1218,	4712.91,	21,	6956,	3.47,	1.00,	1.00,	1.00,	1.00
1-0	S(2),	2.0338,	4917.01,	9,	7584,	3.98,	0.27,	0.37,	0.42,	0.44
1-0	S(3),	1.9576,	5108.40,	33,	8365,	4.21,	0.51,	1.02,	1.29,	1.45
1-0	S(4),	1.8920,	5282.52,	13,	9286,	4.19,	0.082,	0.26,	0.39,	0.47
1-0	S(5),	1.8358,	5447.25,	45,	10341,	3.96,	0.096,	0.52,	0.91,	1.21
1-0	S(6),	1.7880,	5592.9,	17,	11522,	3.54,	0.010,	0.10,	0.21,	0.31
1-0	S(7),	1.7480,	5720.8,	57,	12817,	2.98,	0.008,	0.15,	0.40,	0.65
1-0	S(8),	1.7147,	5831.9,	21,	14221,	2.34,	0.001,	0.022,	0.074,	0.14
1-0	S(9),	1.6877,	5925.1,	69,	15722,	1.68,	0.025,	0.11,	0.22,
1-0	S(10),	1.6665,	6000.0,	25,	17311,	1.05,	0.003,	0.015,	0.034,
1-0	S(11),	1.6504,	6059.0,	81,	18979,	0.53,	0.002,	0.014,	0.037,
1-0	Q(1),	2.4066,	4155.25,	9,	6149,	4.29,	1.05,	0.70,	0.61,	0.57
1-0	Q(2),	2.4134,	4143.47,	5,	6471,	3.03,	0.30,	0.23,	0.22,	0.21
1-0	Q(3),	2.4237,	4125.87,	21,	6956,	2.78,	0.70,	0.70,	0.70,	0.70
1-0	Q(4),	2.4375,	412.57,	9,	7586,	2.65,	0.15,	0.21,	0.23,	0.24
1-0	Q(5),	2.4548,	4073.72,	33,	8365,	2.55,	0.24,	0.49,	0.62,	0.70
1-0	Q(6),	2.4756,	4039.5,	13,	9286,	2.45,	0.036,	0.12,	0.17,	0.21
1-0	Q(7),	2.5001,	3999.9,	45,	10341,	2.34,	0.042,	0.11	0.40	0.53
3-2	S(0),	2.5014,	3997.73,	5,	17387,	3.88,	0.001,	0.007,	0.016,
3-2	S(1),	2.3864,	4190.33,	21,	17818,	5.14,	0.006,	0.035,	0.087,
3-2	S(2),	2.2870,	4372.49,	9,	18386,	5.63,	0.002,	0.014,	0.037,
3-2	S(3),	2.2014,	4542.57,	33,	19086,	5.63,	0.006,	0.043,	0.12,
3-2	S(4),	2.1280,	4699.32,	13,	19912,	5.22,	0.001,	0.012,	0.036,
3-2	S(5),	2.0656,	4841.3,	45,	20856,	4.50,	0.003,	0.023,	0.088,
3-2	S(6),	2.0130,	4967.7,	17,	21911,	3.57,	0.006,	0.021,,
3-2	S(7),	1.9692,	5078.1,	57,	23069,	2.54,	0.001,	0.010,	0.038,
4-3	S(3),	2.3446,	4265.4,	21,,,,,,
4-3	S(4),	2.2668,	4411.5,	9,,,,,,
4-3	S(5),	2.201,	4543.5,	33,,,,,,
5-4	S(5),	2.3555,	4245.4,	45,,,,,,
5-4	S(7),	2.2510,	4442.5,	57,,,,,,
2-0	S(0),	1.2383,	8075.3,	5,	12095,	1.27,	0.001,	0.012,	0.028,	0.043
2-0	S(1),	1.1622,	8604.2,	21,	12550,	1.90,	0.004,	0.061,	0.15,	0.23
2-0	S(2),	1.1382,	8785.5,	9,	13150,	2.38,	0.001,	0.025,	0.070,	0.12
2-0	S(3),	1.1175,	8948.6,	33,	13890,	2.77,	0.002,	0.074,	0.24,	0.43
2-0	S(4),	1.0998,	9092.4,	13,	14764,	3.07,	0.021,	0.078,	0.15,
2-0	S(5),	1.0851,	9215.5,	45,	15763,	3.28,	0.001,	0.048,	0.21,	0.44
2-9	Q(1),	1.2383,	8075.3,	9,	11789,	1.94,	0.003,	0.037,	0.082,	0.12
2-0	Q(2),	1.2419,	8051.9,	5,	12095,	1.38,	0.001,	0.012,	0.029,	0.045
2-0	Q(3),	1.2473,	8017.2,	21,	12550,	1.29,	0.002,	0.039,	0.098,	0.24
2-0	Q(4),	1.2545,	7971.1,	9,	13150,	1.27,	0.001,	0.012,	0.033,	0.056
2-0	Q(5),	1.2636,	7913.3,	33,	13890,	1.23,	0.001,	0.024,	0.093,	0.17
2-0	O(2),	1.2932,	7732.6,	1,	11635,	3.47,	0.001,	0.008,	0.016,	0.024
2-0	O(3),	1.3354,	7488.3,	9,	11789,	1.61,	0.003,	0.028,	0.063,	0.094
2-0	O(4),	1.3817,	7237.5,	5,	12095,	1.03,	0.001,	0.008,	0.020,	0.030
2-0	O(5),	1.4322,	6982.5,	21,	12550,	0.698,	0.001,	0.018,	0.046,	0.074