Line Name, Rest Value
PAH3.25,     3.25
PAH3.3,      3.3
PAH3.4,      3.4
PAH3.5,      3.5
PAH3.8,      3.75
PAH5.3,      5.27    
PAH5.7,      5.70
PAH6.2,      6.22
PAH6.7,      6.69
PAH7.4,      7.42
PAH7.6,      7.60
PAH7.9,      7.85
PAH8.3,      8.33
PAH8.6,      8.61
PAH10.7,    10.68
PAH11.2,    11.23
PAH11.3,    11.33
PAH12.0,    11.99
PAH12.6,    12.62
PAH12.7,    12.69
PAH13.5,    13.48
PAH14.0,    14.04
PAH14.2,    14.19
PAH15.9,    15.90
PAH16.5,    16.45
PAH17.0,    17.04
PAH17.4,    17.375
PAH17.9,    17.87
PAH18.9,    18.92
PAH33.1,    33.10